Borough,Bedroom Category,Count of rents,Mean,Lower quartile,Median,Upper quartile
Southwark,Two Bedrooms,480,1745,1500,1668,1863
Southwark,Three Bedrooms,160,2170,1850,2100,2350
Southwark,Four or More Bedrooms,80,2721,2400,2650,3000
Sutton,Room,10,556,500,533,592
Sutton,Studio,60,776,750,775,800
Sutton,One Bedroom,490,923,875,925,975
Sutton,Two Bedrooms,650,1164,1075,1150,1250
Sutton,Three Bedrooms,190,1495,1375,1500,1600
Sutton,Four or More Bedrooms,60,1920,1750,1895,2000
Tower Hamlets,Room,50,661,592,652,737
Tower Hamlets,Studio,110,1396,1257,1350,1452
Tower Hamlets,One Bedroom,520,1547,1350,1475,1650
Tower Hamlets,Two Bedrooms,590,1933,1625,1778,2080
Tower Hamlets,Three Bedrooms,210,2365,2000,2235,2400
Tower Hamlets,Four or More Bedrooms,50,2845,2395,2675,3146
Waltham Forest,Room,50,558,460,548,642
Waltham Forest,Studio,40,825,701,850,925
Waltham Forest,One Bedroom,390,1122,1000,1100,1200
Waltham Forest,Two Bedrooms,560,1364,1250,1325,1450
Waltham Forest,Three Bedrooms,250,1649,1495,1650,1775
Waltham Forest,Four or More Bedrooms,110,2026,1830,2000,2200
Wandsworth,Room,
Wandsworth,Studio,40,1060,972,1050,1235
Wandsworth,One Bedroom,410,1421,1300,1400,1550
Wandsworth,Two Bedrooms,730,1787,1550,1750,1980
Wandsworth,Three Bedrooms,300,2292,1895,2250,2600
Wandsworth,Four or More Bedrooms,210,3157,2500,3000,3467
Westminster,Room,10,876,750,888,953
Westminster,Studio,130,1370,1213,1213,1517
Westminster,One Bedroom,460,2111,1668,1964,2483
Westminster,Two Bedrooms,500,2922,2221,2719,3293
Westminster,Three Bedrooms,170,4152,3033,3878,4658
Westminster,Four or More Bedrooms,50,8505,4088,7323,12567
